CAT.1;CAT.2;CAT.Libellé;Détails;Code CG;Libellé;Rubrique du bilan;Préfixe du compte particulier;Référence code économique;Liaison
1;2;3;;0;DROITS ET OBLIGATIONS NON REPRIS AU BILAN;;;;0
1;2;3;;0;GARANTIES AU PROFIT DE L'ENTITE;;;;0
1;2;3;;1;Garanties constituées par des tiers;;;N;0
1;2;3;;2;Tiers garants;;;N;0
1;2;3;;1;GARANTIES CONSTITUEES AU PROFIT DE TIERS;;;;0
1;2;3;;1001;Tiers pour lesquels l'entité s’est portée garante;;;N;0
1;2;3;;1002;Bénéficiaire de la garantie accordée;;;N;0
1;2;3;;3;GARANTIES RECUES PAR L'ENTITE;;;;0
1;2;3;;3001;Garanties reçues;;;N;0
1;2;3;;3002;Constituants de garanties;;;N;0
1;2;3;;5;OBLIGATIONS EN CAS D'ACQUISITION OU CESSION D'ACTIFS IMMOBILISES;;;;0
1;2;3;;5001;Obligations en cas d’acquisition d’actifs immobilisés;;;N;0
1;2;3;;5002;Créanciers des obligations en cas d’acquisition d’actifs immobilisés;;;N;0
1;2;3;;5101;Obligations en cas d’acquisition immobilière en location-financement;;;N;0
1;2;3;;5102;Créanciers des obligations en cas d’acquisition immobilière en location-financement;;;N;0
1;2;3;;5201;Débiteurs des obligations en cas de cession d’actifs immobilisés;;;N;0
1;2;3;;5202;Obligations en cas de cession d’actifs immobilisés;;;N;0
1;2;3;;7;BIENS APARTENANT A DES TIERS DETENUS PAR L'ENTITE;;;;0
1;2;3;;7001;Droits d’usage à long terme sur des actifs immobilisés;;;N;0
1;2;3;;7002;Créanciers de droits d’usage à long terme sur des actifs immobilisés;;;N;0
1;2;3;;8;DROITS DE TIRAGE;;;;0
1;2;3;;8001;Débiteurs de droits de tirage de subsides d’investissementss;;;N;0
1;2;3;;8002;Droits de tirage de subsides d’investissement à la disposition de l'entité;;;N;0
1;2;3;;1;CAPITAUX PERMANENTS;;;;0
1;2;3;;10;FONDS COMMUNAL/SOCIAL;;;;0
1;2;3;;10000;Fonds communal ou social;I’.;9999NNNNN;N;0
1;2;3;;13;RESERVES;;;;0
1;2;3;;13104;Fonds de réserve ordinaire;II'.A'.;0463;O;0
1;2;3;;13105;Fonds de réserve extraordinaire;II'.B'.;0463;O;0
1;2;3;;13106;Fonds de réserve des subsides ordinaires;II'.C'.;0463;O;0
1;2;3;;13107;Fonds de réserve des subsides extraordinaires;II'.C'.;0463;O;0
1;2;3;;14;RESULTATS CAPITALISES;;;;0
1;2;3;;14000;Résultats capitalisés;III’.;999914000;N;0
1;2;3;;14;RESULTATS REPORTES;;;;0
1;2;3;;140;RESULTATS REPORTES;;;;0
1;2;3;;1402;Résultats reportés de l'exercice précédent;;;;0
1;2;3;;14021;Mali de l’exercice précédent;IV'.A’.;999914Tiers1;N;0
1;2;3;;14023;Boni de l’exercice précédent;IV'.A’.;999914Tiers3;N;0
1;2;3;;1403;Résultats reportés de l'exercice;;;;0
1;2;3;;14031;Mali de l’exercice en cours;IV'.B’.;9999NNNNN;N;0
1;2;3;;14033;Boni de l’exercice en cours;IV'.B’.;9999NNNNN;N;0
1;2;3;;15;SUBSIDES D’INVESTISSEMENT, DONS ET LEGS OBTENUS;;;;0
1;2;3;;151;SUBSIDES D’INVESTISSEMENT, DONS ET LEGS DES ENTREPRISES PRIVEES;;;;0
1;2;3;;1511;Subsides d’investissement, dons et legs en capital des entreprises privées;;;;0
1;2;3;;15111;Subsides d’investissement, dons et legs en capital des entreprises privées;V'.A’.;04611;O;0
1;2;3;;15119;Réduction des subsides d’investissement, dons et legs en capital des entreprises privées;V'.A’.;04611;N;0
1;2;3;;1513;Subsides d’investissement, dons et legs en biens patrimoniaux des entreprises privées;;;;0
1;2;3;;15131;Dons et legs en biens patrimoniaux des entreprises privées;V'.A’.;04612;N;0
1;2;3;;15139;Réduction des dons et legs en biens patrimoniaux des entreprises privées;V'.A’.;04612;N;0
1;2;3;;152;SUBSIDES D’INVESTISSEMENT, DONS ET LEGS DES MENAGES, ASBL ET AUTRES ORGANISMES;;;;0
1;2;3;;1521;Subsides d’investissement, dons et legs en capital des ménages, ASBL et autres organismes;;;;0
1;2;3;;15211;Subsides d’investissement, dons et legs en capital des ménages, ASBL et autres organismes;V'.B’.;04611;O;0
1;2;3;;15219;Réduction des subsides d’investissement, dons et legs en capital des ménages, ASBL et autres organismes;V'.B’.;04611;N;0
1;2;3;;1523;Subsides d’investissement, dons et legs en biens patrimoniaux des ménages, ASBL et autres organismes;;;;0
1;2;3;;15231;Dons et legs en biens patrimoniaux des ménages, ASBL et autres organismes;V'.B’.;04612;N;0
1;2;3;;15239;Réduction des dons et legs en biens patrimoniaux des ménages, ASBL et autres organismes;V'.B’.;04612;N;0
1;2;3;;154;SUBSIDES D’INVESTISSEMENT DES POUVOIRS PUBLICS SUPERIEURS;;;;0
1;2;3;;1541;Subsides d’investissement en capital des pouvoirs publics supérieurs;;;;0
1;2;3;;15411;Subsides en capital des pouvoirs publics supérieurs;V'.C’.;04611;O;0
1;2;3;;15419;Réduction de subsides d’investissement en capital des pouvoirs publics supérieurs;V'.C’;04611;N;0
1;2;3;;1542;Subsides d’investissement en récupération de remboursement d’emprunts par les  pouvoirs publics supérieurs;;;;0
1;2;3;;15421;Subsides d’investissement en récupération de remboursement d’emprunts par les pouvoirs publics supérieurs;V'.C’.;04610;N;0
1;2;3;;15429;Réduction des subsides en récupération de remboursement d’emprunts par les  pouvoirs publics supérieurs;V'.C’.;04610;N;0
1;2;3;;1543;Subsides en biens patrimoniaux des pouvoirs publics supérieurs;;;;0
1;2;3;;15431;Subsides en biens patrimoniaux des pouvoirs publics supérieurs;V'.C’.;04612;N;0
1;2;3;;15439; Réduction des subsides en biens patrimoniaux des pouvoirs publics supérieurs;V'.C’.;04612;N;0
1;2;3;;156;SUBSIDES EN CAPITAL DES AUTRES POUVOIRS PUBLICS;;;;0
1;2;3;;1561;Subsides en capital des autres pouvoirs publics;;;;0
1;2;3;;15611;Subsides en capital des autres pouvoirs publics;V'.D’.;04611;O;0
1;2;3;;15619;Réduction des subsides en capital des autres pouvoirs publics;V'.D’.;04611;N;0
1;2;3;;1563;Subsides en biens patrimoniaux des autres pouvoirs publics;;;;0
1;2;3;;15631;Subsides en biens patrimoniaux des autres pouvoirs publics;V'.D’.;04612;N;0
1;2;3;;15639;Réduction des subsides en biens patrimoniaux des autres pouvoirs publics;V'.D’.;04612;N;0
1;2;3;;16;PROVISIONS POUR RISQUES ET CHARGES;;;;0
1;2;3;;16000;Provisions pour risques et charges;VI'.;0463;O;0
1;2;3;;17;DETTES CONTRACTEES A PLUS D’UN AN;;;;0
1;2;3;;171;DETTES A PLUS D’UN AN;;;;0
1;2;3;;1710;Emprunts à charge de l’entité;;;;0
1;2;3;;17101;Emprunts à charge de l'entité;VII'.A’.;040;O;0
1;2;3;;17109;Remboursement des emprunts à charge de l'entité;VII'.A’.;040;O;0
1;2;3;;1714;Emprunts à charge des pouvoirs publics supérieurs;;;;0
1;2;3;;17141;Emprunts à charge des  pouvoirs publics supérieurs;VII'.B’.;040;O;0
1;2;3;;17149;Remboursement des emprunts à charge des  pouvoirs publics supérieurs;VII'.B’.;040;O;0
1;2;3;;1715;Emprunts d’assainissement et de consolidation;;;;0
1;2;3;;17151;Emprunts d’assainissement et de consolidation;VII'.A’.;040;O;0
1;2;3;;17159;Remboursement des emprunts d’assainissement et de consolidation;VII'.A’.;040;O;0
1;2;3;;172;DETTES A PLUS D’UN AN - EMPRUNTS POUR LE COMPTE DE TIERS;;;;0
1;2;3;;17211;Emprunts pour le compte de tiers;VII'.C’.;040;O;0
1;2;3;;17219;Remboursement des emprunts à charge de tiers;VII'.C'.;040;O;0
1;2;3;;173;DETTES A PLUS D’UN AN - EMPRUNTS A DESTINTION SPECIFIQUE;;;;0
1;2;3;;17301; Emprunts à destination spécifique accordés par les pouvoirs publics supérieurs;VII'.A’.;041;O;0
1;2;3;;17309;Remboursement d'emprunts à destination spécifique accordés par les pouvoirs publics supérieurs;VII'.A’.;041;O;0
1;2;3;;174;DETTES A PLUS D’UN AN - LOCATION-FINANCEMENT;;;;0
1;2;3;;17421;Emprunts de location-financement;VII'.D'.;040;O;0
1;2;3;;17429;Remboursement des des emprunts de location-financement;VII'.D'.;040;O;0
1;2;3;;175;DETTES A PLUS D’UN AN - EMPRUNTS DE PREFINANCEMENT;;;;0
1;2;3;;17501;Emprunts de préfinancement à charge de l'entité (emprunts de préfinancement à échéance unique inclus);VII'.A’.;040;O;0
